domain,category
0-00.usa.cc,disposable
0-180.com,disposable
0-30-24.com,disposable
0-attorney.com,disposable
0-mail.com,disposable
0-mailer.dynv6.net,disposable
00-tv.com,disposable
00.msk.ru,disposable
00.pe,disposable
000-webmail.myhome-server.de,disposable
000000000000000.theworkpc.com,disposable
000000000000000000.dynv6.net,disposable
000476.com,disposable
000777.info,disposable
00082cc.com,disposable
000email.com,disposable
000webmail.ddnss.de,disposable
000webmail.ddnss.org,disposable
000webmail.dyn-ip24.de,disposable
000webmail.dyn.ddnss.de,disposable
000webmail.dyn.home-webserver.de,disposable
000webmail.dyndns.ddnss.de,disposable
000webmail.dyndns1.de,disposable
000webmail.home-webserver.de,disposable
001.igg.biz,disposable
001gmail.com,disposable
002gmail.com,disposable
002r.com,disposable
002t.com,disposable
003271.com,disposable
0033.pl,disposable
0039.cf,disposable
0039.ga,disposable
0039.gq,disposable
0039.ml,disposable
003j.com,disposable
004k.com,disposable
005005.xyz,disposable
0058.ru,disposable
006j.com,disposable
006o.com,disposable
006z.com,disposable
007game.ru,disposable
007gmail.com,disposable
008gmail.com,disposable
009gmail.com,disposable
00b2bcr51qv59xst2.cf,disposable
00b2bcr51qv59xst2.ga,disposable
00b2bcr51qv59xst2.gq,disposable
00b2bcr51qv59xst2.ml,disposable
00b2bcr51qv59xst2.tk,disposable
00g0.com,disposable
00jac.com,disposable
00sh.cf,disposable
01022.hk,disposable
010880.com,disposable
010gmail.com,disposable
01130.hk,disposable
011gmail.com,disposable
0123.website,disposable
01234.space,disposable
012gmail.com,disposable
017gmail.com,disposable
01852990.ga,disposable
0188.info,disposable
01911.ru,disposable
0199934.com,disposable
019gmail.com,disposable
01bktwi2lzvg05.cf,disposable
01bktwi2lzvg05.ga,disposable
01bktwi2lzvg05.gq,disposable
01bktwi2lzvg05.ml,disposable
01bktwi2lzvg05.tk,disposable
01g.cloud,disposable
01gmail.com,disposable
01hosting.biz,disposable
01trends.com,disposable
02.pl,disposable
02.tml.waw.pl,disposable
020307.xyz,disposable
020gmail.com,disposable
020yiren.com,disposable
020zlgc.com,disposable
022gmail.com,disposable
023gmail.com,disposable
024024.cf,disposable
02466.cf,disposable
02466.ga,disposable
02466.gq,disposable
02466.ml,disposable
025gmail.com,disposable
027168.com,disposable
029gmail.com,disposable
02gmail.com,disposable
02hotmail.com,disposable
03-genkzmail.ga,disposable
03.tml.waw.pl,disposable
030gmail.com,disposable
0317123.cn,disposable
031839.com,disposable
031gmail.com,disposable
032gmail.com,disposable
0335g.com,disposable
036gmail.com,disposable
039gmail.com,disposable
03gmail.com,disposable
0411cs.com,disposable
041gmail.com,disposable
042gmail.com,disposable
043gmail.com,disposable
045692.xyz,disposable
047gmail.com,disposable
04g.com,disposable
04gmail.com,disposable
050gmail.com,disposable
0530fk.com,disposable
0543sh.com,disposable
057gmail.com,disposable
058gmail.com,disposable
0597797341.website,disposable
059gmail.com,disposable
05gmail.com,disposable
